Node_ID,Timestamp,Data_Type,Data_Value,Encryption_Status,Access_Control_Level,Latency (ms),Energy_Consumption (mJ),Throughput (Mbps),Integrity_Verified
1,2024-11-04 08:02:02.649443,Sensor_Data,73,Not_Encrypted,Nurse,43.53,0.431,9.89,Verified
2,2024-11-04 08:02:12.649443,Medical_Record,281,Encrypted,Doctor,47.21,0.382,12.11,Corrupted
3,2024-11-04 08:02:22.649443,Sensor_Data,70,Encrypted,Admin,36.01,0.564,8.08,Verified
4,2024-11-04 08:02:32.649443,Sensor_Data,40,Not_Encrypted,Nurse,57.3,0.621,9.09,Verified
5,2024-11-04 08:02:42.649443,Medical_Record,725,Not_Encrypted,Nurse,42.09,0.745,9.75,Verified
6,2024-11-04 08:02:52.649443,Sensor_Data,332,Not_Encrypted,Doctor,46.23,0.374,9.31,Corrupted
7,2024-11-04 08:03:02.649443,Medical_Record,812,Encrypted,Doctor,68.75,0.496,13.17,Verified
8,2024-11-04 08:03:12.649443,Sensor_Data,922,Encrypted,Doctor,36.63,0.623,10.01,Verified
9,2024-11-04 08:03:22.649443,Medical_Record,710,Encrypted,Admin,40.42,0.457,8.97,Verified
10,2024-11-04 08:03:32.649443,Medical_Record,304,Not_Encrypted,Doctor,48.54,0.524,7.74,Verified
11,2024-11-04 08:03:42.649443,Sensor_Data,728,Not_Encrypted,Doctor,40.26,0.439,8.39,Verified
12,2024-11-04 08:03:52.649443,Medical_Record,999,Encrypted,Doctor,65.77,0.61,9.63,Verified
13,2024-11-04 08:04:02.649443,Sensor_Data,520,Not_Encrypted,Nurse,61.82,0.619,11.61,Verified
14,2024-11-04 08:04:12.649443,Medical_Record,423,Not_Encrypted,Nurse,63.78,0.587,11.5,Verified
15,2024-11-04 08:04:22.649443,Sensor_Data,413,Encrypted,Admin,52.06,0.482,12.13,Verified
16,2024-11-04 08:04:32.649443,Sensor_Data,802,Not_Encrypted,Nurse,66.31,0.62,11.67,Verified
17,2024-11-04 08:04:42.649443,Medical_Record,420,Not_Encrypted,Admin,44.64,0.555,7.93,Verified
18,2024-11-04 08:04:52.649443,Medical_Record,23,Encrypted,Doctor,52.37,0.655,8.14,Verified
19,2024-11-04 08:05:02.649443,Medical_Record,34,Encrypted,Nurse,59.69,0.423,11.7,Verified
20,2024-11-04 08:05:12.649443,Sensor_Data,974,Encrypted,Admin,61.24,0.495,9.32,Verified
21,2024-11-04 08:05:22.649443,Sensor_Data,380,Not_Encrypted,Nurse,32.88,0.588,10.87,Verified
22,2024-11-04 08:05:32.649443,Sensor_Data,60,Encrypted,Doctor,58.47,0.506,10.69,Verified
23,2024-11-04 08:05:42.649443,Medical_Record,552,Encrypted,Doctor,44.36,0.313,14.29,Verified
24,2024-11-04 08:05:52.649443,Medical_Record,115,Encrypted,Admin,60.02,0.609,8.47,Verified
25,2024-11-04 08:06:02.649443,Medical_Record,155,Encrypted,Admin,39.9,0.45,9.35,Verified
26,2024-11-04 08:06:12.649443,Medical_Record,148,Encrypted,Admin,40.82,0.456,12.62,Verified
27,2024-11-04 08:06:22.649443,Medical_Record,110,Encrypted,Nurse,55.12,0.514,13.67,Verified
28,2024-11-04 08:06:32.649443,Medical_Record,389,Not_Encrypted,Doctor,45.76,0.466,6.43,Verified
29,2024-11-04 08:06:42.649443,Sensor_Data,200,Encrypted,Doctor,51.08,0.516,8.48,Verified
30,2024-11-04 08:06:52.649443,Medical_Record,722,Encrypted,Doctor,41.97,0.47,8.89,Verified
31,2024-11-04 08:07:02.649443,Medical_Record,692,Encrypted,Nurse,47.47,0.511,7.72,Verified
32,2024-11-04 08:07:12.649443,Sensor_Data,649,Encrypted,Nurse,64.87,0.553,10.04,Verified
33,2024-11-04 08:07:22.649443,Medical_Record,659,Not_Encrypted,Nurse,55.38,0.403,8.43,Verified
34,2024-11-04 08:07:32.649443,Medical_Record,414,Not_Encrypted,Doctor,46.13,0.521,10.53,Verified
35,2024-11-04 08:07:42.649443,Medical_Record,570,Encrypted,Admin,41.61,0.504,13.27,Verified
36,2024-11-04 08:07:52.649443,Sensor_Data,219,Encrypted,Doctor,27.52,0.462,9.51,Verified
37,2024-11-04 08:08:02.649443,Sensor_Data,50,Not_Encrypted,Admin,60.5,0.555,6.33,Verified
38,2024-11-04 08:08:12.649443,Sensor_Data,295,Not_Encrypted,Doctor,58.97,0.286,5.38,Verified
39,2024-11-04 08:08:22.649443,Sensor_Data,59,Not_Encrypted,Admin,37.96,0.501,11.52,Verified
40,2024-11-04 08:08:32.649443,Medical_Record,617,Not_Encrypted,Doctor,49.42,0.668,7.89,Verified
41,2024-11-04 08:08:42.649443,Medical_Record,777,Encrypted,Doctor,50.83,0.579,9.99,Verified
42,2024-11-04 08:08:52.649443,Sensor_Data,370,Encrypted,Admin,43.11,0.538,8.73,Verified
43,2024-11-04 08:09:02.649443,Medical_Record,236,Not_Encrypted,Admin,52.71,0.52,12.65,Verified
44,2024-11-04 08:09:12.649443,Sensor_Data,652,Not_Encrypted,Doctor,47.65,0.577,10.12,Verified
45,2024-11-04 08:09:22.649443,Medical_Record,190,Not_Encrypted,Nurse,40.16,0.485,7.16,Corrupted
46,2024-11-04 08:09:32.649443,Medical_Record,181,Not_Encrypted,Nurse,58.34,0.493,8.83,Verified
47,2024-11-04 08:09:42.649443,Medical_Record,243,Encrypted,Nurse,58.6,0.519,12.53,Corrupted
48,2024-11-04 08:09:52.649443,Medical_Record,606,Not_Encrypted,Doctor,53.49,0.622,13.21,Verified
49,2024-11-04 08:10:02.649443,Medical_Record,869,Encrypted,Doctor,51.68,0.401,9.32,Verified
50,2024-11-04 08:10:12.649443,Sensor_Data,898,Encrypted,Admin,65.82,0.592,8.09,Verified
